"id","semester_nr","statistic_course","ba_program","other_ba","specialization","statistics_1","statistics_2","statistics_3","statistics_4"
236,1,0,"other","Exchange Student","other",4,3,3,1
237,2,0,"Management and Technology (TUM)",NA,"Mechanical Engineering",2,1,1,1
238,4,0,"other","Information systems (Wirtschaftsinformatik)","none",1,1,1,1
239,4,0,"other","Information systems","Marketing, Strategy and Leadership",1,1,1,1
240,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,2,2,1
241,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,2,1,1
242,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,1,1,1
243,2,0,"other","M.Sc. Politics and Technology","other",4,3,3,4
244,1,0,"Management and Technology (TUM)",NA,"none",3,1,1,1
245,4,1,"other","Bioökonomie","none",2,1,1,2
246,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,2,2,3
247,1,0,"other","Master Business Education (Wirtschaftspädagogik) (TUM)","none",1,1,1,1
248,4,0,"other","information systems","Informatics",1,1,1,1
249,4,0,"other",NA,"Informatics",2,1,1,1
250,2,0,"other","Wirtschaftsinformatik","other",1,1,1,1
251,4,0,"other","Politics and Technology","none",5,3,4,4
252,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,2
253,4,1,"other","Wirtschaftsinfo","none",5,5,5,5
254,4,0,"other","Information Systems","Informatics",1,1,1,1
255,4,1,"Management and Technology (TUM)",NA,"Chemistry",5,1,5,5
256,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,4,2,3
257,4,1,"Management and Technology (TUM)",NA,"Informatics",5,4,3,3
258,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,2,2
259,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,2,2,1
260,4,0,"other","Information systems","Computer Engineering",3,1,1,1
261,2,0,"Management and Technology (TUM)",NA,"Mechanical Engineering",1,1,1,1
262,4,1,"other","Wirtschaftsinformatik","none",3,2,2,2
263,5,1,"Management and Technology (TUM)",NA,"Innovation and Entrepreneurship",2,1,1,1
264,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",5,3,2,2
265,4,0,"other","Information Systems","other",3,1,1,1
266,4,1,"Management and Technology (TUM)",NA,"Informatics",4,2,2,1
267,4,1,"Management and Technology (TUM)",NA,"Informatics",3,1,1,3
